season	tournament	event	round	round_id	url
2022-23	La Reina Invitational	Open Extemp	Finals	902090	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=902090
2022-23	La Reina Invitational	Open Extemp	Round 3	902089	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=902089
2022-23	La Reina Invitational	Open Extemp	Round 2	902088	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=902088
2022-23	La Reina Invitational	Open Extemp	Round 1	902087	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=902087
2022-23	La Reina Invitational	Novice Extemp	Finals	953197	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=953197
2022-23	La Reina Invitational	Novice Extemp	Round 3	933379	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=933379
2022-23	La Reina Invitational	Novice Extemp	Round 2	933378	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=933378
2022-23	La Reina Invitational	Novice Extemp	Round 1	933377	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=24898&round_id=933377
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Finals	1024150	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1024150
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Semifinals	1024149	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1024149
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Round 4	1066495	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066495
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Round 3	1024148	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1024148
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Round 2	1024147	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1024147
2022-23	Jack Howe Memorial Tournament	Open Extemporaneous	Round 1	1024146	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1024146
2022-23	Jack Howe Memorial Tournament	Novice Extemporaneous	Finals	1066485	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066485
2022-23	Jack Howe Memorial Tournament	Novice Extemporaneous	Round 4	1066484	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066484
2022-23	Jack Howe Memorial Tournament	Novice Extemporaneous	Round 3	1066483	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066483
2022-23	Jack Howe Memorial Tournament	Novice Extemporaneous	Round 2	1066482	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066482
2022-23	Jack Howe Memorial Tournament	Novice Extemporaneous	Round 1	1066481	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=27614&round_id=1066481
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Finals	1192137	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192137
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Semifinals	1192136	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192136
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Round 4	1192135	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192135
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Round 3	1192134	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192134
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Round 2	1192133	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192133
2024-25	Jack Howe Memorial Tournament	Open Extemporaneous	Round 1	1192132	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31822&round_id=1192132
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Finals	1193113	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193113
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 3	1193112	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193112
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 2	1193111	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193111
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 1	1193110	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193110
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Finals	1193069	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193069
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 3	1193068	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193068
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 2	1193067	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193067
2024-25	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 1	1193066	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=31848&round_id=1193066
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Finals	1323933	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1323933
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Semifinals	1156873	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156873
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Quarterfinals	1156872	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156872
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Round 4	1156871	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156871
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Round 3	1156870	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156870
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Round 2	1156869	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156869
2024-25	39th Annual Stanford Invitational	A National Extemp - Varsity	Round 1	1156868	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156868
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Finals	1156959	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156959
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Semifinals	1156958	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156958
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 4	1156957	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156957
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 3	1156956	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156956
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 2	1156955	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156955
